species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
C5		C5	60.0535	5	0	True	./species/C5_1Sigma.xyz	True	1	-189.84534183	0.019241
C5-		C5-	60.0535	5	-1	False	./species/C5-_2.xyz	True	2	-189.94803107	0.018378
C4N+		C4N1+	62.0495	5	1	False	./species/C4N+_1.xyz	True	1	-206.21033066	0.019598
C4N	Cyanopropynylidene	C4N1	62.0495	5	0	False	./species/C4N_2Pi.xyz	True	2	-206.56075644	0.019032
C4O		C4O1	64.043	5	0	False	./species/C4O_3Sigma.xyz	False	3	-227.03805714	0.019959
SiC3H+		H1C3Si1+	65.12544	5	1	False	./species/SiC3H+_3.xyz	True	3	-403.27974318	0.022101
SiC3H		H1C3Si1	65.12544	5	0	False	./species/SiC3H_2Pi.xyz	True	2	-403.57854499	0.023017
H3S2+		H3S2+	67.15352	5	1	False	./species/H3S2+_1.xyz	True	1	-796.96678513	0.028418
PC3H+		H1C3P1+	68.013701	5	1	False	./species/PC3H+_2.xyz	True	2	-455.15071838	0.024077
HC3S+		H1C3S1+	69.10494	5	1	False	./species/HC3S+_1.xyz	True	1	-512.04393809	0.025407
SiC4+		C4Si1+	76.1283	5	1	False	./species/SiC4+_2.xyz	True	2	-440.58556901	0.017661
SiC4		C4Si1	76.1283	5	0	False	./species/SiC4_1Sigma.xyz	True	1	-440.9538281	0.017514
C4P+		C4P1+	79.016561	5	1	False	./species/C4P+_1.xyz	True	1	-492.49295597	0.017456
C4P		C4P1	79.016561	5	0	False	./species/C4P_2Pi.xyz	True	2	-492.80231547	0.016967
C4S+		C4S1+	80.1078	5	1	False	./species/C4S+_2.xyz	True	2	-549.3100557999999	0.01731
C4S		C4S1	80.1078	5	0	False	./species/C4S_3Sigma.xyz	True	3	-549.64627369	0.017781
CH5+		H5C1+	17.0499	6	1	False	./species/CH5+_1.xyz	True	1	-40.652685019	0.051499
C2H4+	Ethyleneion	H4C2+	28.05276	6	1	False	./species/C2H4+_2.xyz	True	2	-78.05844259999999	0.049198
C2H4	ethylene	H4C2	28.05276	6	0	True	./species/C2H4_1A1.xyz	True	1	-78.443462031	0.051376
CH2NH2+	Methyleneaminecation	H4C1N1+	30.04876	6	1	False	./species/CH2NH2+_1.xyz	True	1	-94.82267054	0.054465
CH3OH+	METHANOLCATION	H4C1O1+	32.041059999999995	6	1	False	./species/CH3OH+_2.xyz	True	2	-115.16078791	0.047143
CH3OH	methanol	H4C1O1	32.041059999999995	6	0	True	./species/CH3OH_1Ap.xyz	True	1	-115.56226763	0.051773
SiH5+		H5Si1+	33.1247	6	1	False	./species/SiH5+_1.xyz	True	1	-291.69090247	0.03941
l-C3H3+	Propargylcation	H3C3+	39.05562000000001	6	1	False	./species/l-C3H3+_1.xyz	True	1	-115.4693471	0.043012
c-C3H3+	Cyclopropenylcation	H3C3+	39.05562000000001	6	1	False	./species/c-C3H3+_1.xyz	True	1	-115.5144869	0.04557
CH2CCH	Propargylradical	H3C3	39.05562000000001	6	0	False	./species/CH2C2H_2B1.xyz	True	2	-115.78566699	0.041527
CH3CC		H3C3	39.057	6	0	False	./species/CH3CC_2Ap.xyz	False	2	-115.71515026	0.041326
CH3CN+	ACETONITRILECATION	H3C2N1+	41.05162	6	1	False	./species/CH3CN+_2.xyz	True	2	-132.08690401	0.040639
CH3CN	Acetonitrile	H3C2N1	41.05162	6	0	True	./species/CH3CN_1Ap.xyz	True	1	-132.53628846	0.04571
CH2CNH		H3C2N1	41.053	6	0	False	./species/CH2CNH_1Ap.xyz	False	1	-132.49121235	0.04414
CH3CO+	Acetylcation	H3C2O1+	43.04392	6	1	False	./species/CH3CO+_1.xyz	True	1	-152.69394543	0.04494
NH2CNH+		H3C1N2+	43.04762	6	1	False	./species/NH2CNH+_1.xyz	True	1	-148.87579529	0.044285
SiCH4+		H4C1Si+	44.12756	6	1	False	./species/SiCH4+_2.xyz	True	2	-329.12321628	0.041936
NH2CHO	formamide	H3C1N1O1	45.03992	6	0	True	./species/HCONH2_1Ap.xyz	True	1	-169.65676284	0.045848
PCH4+		H4C1P1+	47.015821	6	1	False	./species/PCH4+_3.xyz	True	3	-380.92791146	0.044546
CH3O2+	Protonatedformicacid	H3C1O2+	47.03222	6	1	False	./species/CH3O2+_1.xyz	True	1	-189.77698566	0.043352
C4H2+	Diacetlyenecation	H2C4+	50.05848	6	1	False	./species/C4H2+_2.xyz	True	2	-152.83279207	0.037282
C4H2	Diacetylene	H2C4	50.05848	6	0	False	./species/C4H2_1Sigma.xyz	True	1	-153.20413186	0.03827
H2C4		H2C4	50.06	6	0	False	./species/H2C4_1A1.xyz	False	1	-153.13290563	0.03593
HC2NCH+		H2C3N1+	52.05448000000001	6	1	False	./species/HC2NCH+_1.xyz	True	1	-169.55240409	0.038601
HC3NH+		H2C3N1+	52.05448000000001	6	1	True	./species/HC3NH+_1.xyz	True	1	-169.58244571	0.038763
H2C3O+		H2C3O1+	54.04678000000001	6	1	False	./species/H2C3O+_2.xyz	True	2	-190.01805814	0.036374
HCCCHO	prop-2-ynal	H2C3O1	54.04678000000001	6	0	False	./species/HCOC2H_1Ap.xyz	True	1	-190.35054244	0.037912
c-C3H2O	cyclopropenone	H2C3O1	54.04678000000001	6	0	False	./species/c-C3H2O_1A1.xyz	True	1	-190.33979244	0.038449
H2CCCO		H2C3O1	54.04678000000001	6	0	False	./species/H2CCCO_1Ap.xyz	True	1	-190.35161927	0.037768
SiC2H3+		H3C2Si1+	55.13042	6	1	False	./species/SiC2H3+_1.xyz	True	1	-366.56534225	0.040955
H2CSiCH		H3C2Si1	55.13042	6	0	False	./species/H2SiC2H_2Ap.xyz	True	2	-366.81414367	0.03443
PC2H3+		H3C2P1+	58.01868100000001	6	1	False	./species/PC2H3+_2.xyz	True	2	-418.37829441	0.039638
C5H+		H1C5+	61.06134	6	1	False	./species/C5H+_1.xyz	True	1	-190.17897305	0.030859
C5H		H1C5	61.06134	6	0	True	./species/C5H_2Pi.xyz	True	2	-190.48735277	0.029591
C5H-		H1C5-	61.06134	6	-1	False	./species/C5H-_3.xyz	True	3	-190.57402587	0.027671
HC4N+		H1C4N1+	63.05734	6	1	False	./species/HC4N+_2.xyz	True	2	-206.88020356	0.029922
HC4N		H1C4N1	63.05734	6	0	False	./species/HC4N_3Sigma.xyz	True	3	-207.22769668	0.028531
HC4O+		H1C4O1+	65.04964	6	1	False	./species/HC4O+_3.xyz	True	3	-227.38798384	0.030152
SiC3H2+		H2C3Si1+	66.13328	6	1	False	./species/SiC3H2+_2.xyz	True	2	-403.93807225	0.033382
C6+		C6+	72.0642	6	1	False	./species/C6+_2.xyz	True	2	-227.35815145	0.022845
C6		C6	72.0642	6	0	False	./species/C6_3Sigma.xyz	True	3	-227.81535095	0.023782
C6-		C6-	72.0642	6	-1	False	./species/C6-_2.xyz	True	2	-227.96737807	0.024757
C5N+		C5N1+	74.0602	6	1	False	./species/C5N+_3.xyz	True	3	-244.19595536	0.023099
C5N		C5N1	74.0602	6	0	True	./species/C5N_2Sigma.xyz	True	2	-244.57874632	0.026044
C4N2		C4N2	76.058	6	0	False	./species/C4N2_1Sigma.xyz	False	1	-261.37924187	0.027282
C5O		C5O1	76.0525	6	0	False	./species/C5O_1A.xyz	True	1	-265.08780118	0.025823
SiC4H+		H1C4Si1+	77.13614	6	1	False	./species/SiC4H+_1.xyz	True	1	-441.34567131	0.029338
SiC4H		H1C4Si1+	77.13614	6	0	False	./species/SiC4H_2Pi.xyz	True	2	-441.60403559	0.028605
PC4H+		H1C4P1+	80.024401	6	1	False	./species/PC4H+_2.xyz	True	2	-493.870396459	0.028702
HC4S+		H1C4S1+	81.11564	6	1	False	./species/HC4S+_3.xyz	True	3	-550.01366467	0.028421
C2H5+		H5C2+	29.0606	7	1	False	./species/C2H5+_1.xyz	True	1	-78.7114713	0.061201
C2H5	ethylradical	H5C2	29.0606	7	0	False	./species/C2H5_2Ap.xyz	True	2	-79.007916081	0.0596
CH3NH2+	Methylaminecation	H5C1N1+	31.056600000000003	7	1	False	./species/CH3NH2+_2.xyz	True	2	-95.3731601	0.06161
CH3NH2	Methylamine	H5C1N1	31.056600000000003	7	0	True	./species/CH3NH2_1Ap.xyz	True	1	-95.70608372	0.064497
CH3OH2+	Protonatedmethylalcohol	H5C1O1+	33.0489	7	1	False	./species/CH3OH2+_1.xyz	True	1	-115.86068636	0.064643
C3H4+		H4C3+	40.06346	7	1	False	./species/C3H4+_2.xyz	True	2	-116.08439455	0.052229
CH3CCH	Propyne	H4C3	40.06346	7	0	False	./species/CH3C2H_1Ap.xyz	True	1	-116.44251331	0.056237
CH2CCH2	1,2-propadiene	H4C3	40.06346	7	0	False	./species/CH2CCH2_1A1.xyz	True	1	-116.44070988	0.05556
CH3CNH+		H4C2N1+	42.05946	7	1	False	./species/CH3CNH+_1.xyz	True	1	-132.84237513	0.056456
C2H4O+	Acetaldehydecation	H4C2O1+	44.05176	7	1	False	./species/C2H4O+_2.xyz	True	2	-153.22221659	0.053194
CH3CHO	acetaldehyde	H4C2O1	44.05176	7	0	True	./species/CH3CHO_1Ap.xyz	True	1	-153.59811188	0.055988
NH2CH2O+	Formamide,protonated	H4C1N1O1+	46.04776	7	1	False	./species/NH2CH2O+_1.xyz	True	1	-169.98660837	0.060144
C4H3+		H3C4+	51.06632000000001	7	1	False	./species/C4H3+_1.xyz	True	1	-153.48806422	0.046832
C4H3	1-buten-3-ynyl	H3C4	51.06632000000001	7	0	False	./species/C4H3_2A.xyz	True	2	-153.78058661	0.04586
CH3C3		H3C4	51.068	7	0	False	./species/CH3C3_2Ap.xyz	False	2	-153.72005845	0.046239
C3H3N+	ACETONITRILECATION	H3C3N1+	53.06231999999999	7	1	False	./species/C3H3N+_2.xyz	True	2	-170.14330577	0.049129
CH2CHCN	2-Propenenitrile	H3C3N1	53.06231999999999	7	0	True	./species/CH2CHCN_1Ap.xyz	True	1	-170.54347336	0.051317
c-C3H2OH+		H3C3O1+	55.05461999999999	7	1	False	./species/c-C3H2OH+_1.xyz	True	1	-190.66865353	0.051803
HCCCHOH+		H3C3O1+	55.05461999999999	7	1	False	./species/HCCCHOH+_1.xyz	True	1	-190.65129808	0.051131
C2H3CO+		H3C3O1+	55.05461999999999	7	1	False	./species/C2H3CO+_1.xyz	True	1	-190.60443411	0.048716
PC2H4+		H4C2P1+	59.026521	7	1	False	./species/PC2H4+_1.xyz	True	1	-419.02023572	0.050532
C5H2+		H2C5+	62.06918	7	1	False	./species/C5H2+_2.xyz	True	2	-190.78574593	0.039668
C5H2		H2C5	62.06918	7	0	False	./species/H2C5_1A1.xyz	True	1	-191.13166911	0.041608
H2C4N+		H2C4N1+	64.06518	7	1	False	./species/H2C4N+_1.xyz	True	1	-207.54843063	0.042373
SiC2CH3		H3C3Si1	67.14112	7	0	False	./species/CH3C2Si_2Ap.xyz	True	2	-404.8394438	0.046463
C6H+		H1C6+	73.07204	7	1	False	./species/C6H+_3.xyz	True	3	-228.15974483	0.034465
C6H	1,3,5-hexatrinylradical	H1C6	73.07204	7	0	True	./species/C6H_2Pi.xyz	True	2	-228.50298271	0.035645
C6H-		H1C6-	73.07204	7	-1	False	./species/C6H-_1.xyz	True	1	-228.64237362	0.036381
HC5N+		H1C5N1+	75.06804	7	1	False	./species/HC5N+_2.xyz	True	2	-244.91490257	0.036701
HC5N	2,4-Pentadiynenitrile	H1C5N1	75.06804	7	0	True	./species/HC5N_1Sigma.xyz	True	1	-245.30133893	0.038073
HC5O+		H1C5O1+	77.06034	7	1	False	./species/HC5O+_1.xyz	True	1	-265.46015452	0.03832
PC4H2+		H1C4P1+	81.032241	7	1	False	./species/PC4H2+_1.xyz	True	1	-493.81647475	0.039769
C7+		C7+	84.0749	7	1	False	./species/C7+_2.xyz	True	2	-265.47464431	0.026608
