species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
CH3COCH3	acetone	H6C3O1	58.07814000000001	10	0	False	./species/C2H6CO_1A1.xyz	True	1	-192.85152376	0.084177
C5H5+		H5C5+	65.0927	10	1	False	./species/C5H5+_1.xyz	True	1	-192.77357109	0.078744
C5H5	pent-1-en-4-yn-3-ylradical	H5C5	65.0927	10	0	False	./species/C5H5_2A.xyz	True	2	-193.05718576	0.07656
C6H4+		H4C6+	76.09555999999998	10	1	False	./species/C6H4+_2.xyz	True	2	-230.13300685	0.070565
C6H4	(E)-hex-3-en-1,5-diyne	H4C6	76.09555999999998	10	0	False	./species/C6H4_1Ag.xyz	True	1	-230.46348927	0.071539
C5H4N+		H4C5N1+	78.09156	10	1	False	./species/C5H4N+_1.xyz	True	1	-246.82238179	0.070545
C7H3+		H3C7+	87.09841999999998	10	1	False	./species/C7H3+_1.xyz	True	1	-267.53222473	0.06356
CH3C5N		H3C6N1	89.09442	10	0	True	./species/CH3C5N_1Ap.xyz	True	1	-284.55564392	0.06642
C8H2+		H2C8+	98.10128	10	1	False	./species/C8H2+_2.xyz	True	2	-304.90256993	0.057955
C8H2	1,3,5,7-Octatetrayne	H2C8	98.10128	10	0	False	./species/C8H2_1Sigma.xyz	True	1	-305.23384945	0.058907
H2C8		H2C8	98.104	10	0	False	./species/H2C8_1A1.xyz	False	1	-305.14853979	0.056454
C7H2N+		H2C7N1+	100.09728	10	1	False	./species/C7H2N+_1.xyz	True	1	-321.62453943	0.059018
C9H+		H1C9+	109.10414	10	1	False	./species/C9H+_1.xyz	True	1	-342.23694881	0.051554
C9H		H1C9	109.10414	10	0	False	./species/C9H_2Pi.xyz	True	2	-342.52289313	0.049879
C9H-		H1C9-	109.10414	10	-1	False	./species/C9H-_3.xyz	True	3	-342.63561381	0.048382
HC8N+		H1C8N1+	111.10014	10	1	False	./species/HC8N+_2.xyz	True	2	-358.96407704	0.050556
HC8N		H1C8N1	111.10014	10	0	False	./species/HC8N_3Sigma.xyz	True	3	-359.27364497	0.048852
C10+		C10+	120.107	10	1	False	./species/C10+_2.xyz	True	2	-379.44896991	0.04339
C10		C10	120.107	10	0	False	./species/C10_3Sigma.xyz	True	3	-379.84025325	0.04385
C10-		C10-	120.107	10	-1	False	./species/C10-_2.xyz	True	2	-380.00576368	0.044801
C9N+		C9N1+	122.103	10	1	False	./species/C9N+_3.xyz	True	3	-396.27608358	0.043723
C9N		C9N1	122.103	10	0	False	./species/C9N_2Pi.xyz	True	2	-396.6141395	0.045115
C9O	3-Methoxy-4-methylheptane	C9O1	124.0953	10	0	False	./species/C9O_1A.xyz	True	1	-417.09626144	0.046075
C8N2		C8N2	124.102	10	0	False	./species/C8N2_1Sigma.xyz	False	1	-413.4105402	0.047867
SiC8H		H1C8Si1	125.17894	10	0	False	./species/SiC8H_2Pi.xyz	True	2	-593.63634445	0.048809
C3H8	propane	H8C3	44.09482	11	0	False	./species/C3H8_1A1.xyz	True	1	-118.92235861	0.103993
C4H7+		H7C4+	55.09768	11	1	False	./species/C4H7+_1.xyz	True	1	-156.01473674	0.096378
C3H6OH+	Acetone,protonated	H7C3O1+	59.085980000000006	11	1	False	./species/C3H6OH+_1.xyz	True	1	-193.1724688	0.09683
C5H6	3-penten-1-yne	H6C5	66.10054000000001	11	0	False	./species/C5H6_1Ap.xyz	True	1	-193.70063362	0.090117
c-C6H5+		H5C6+	77.1034	11	1	False	./species/c-C6H5+_1.xyz	True	1	-230.77835547	0.085587
C7H4+		H4C7+	88.10625999999998	11	1	False	./species/C7H4+_2.xyz	True	2	-268.14757071	0.07192
CH3C6H	hepta-1,3,5-triyne	H4C7	88.10625999999998	11	0	True	./species/CH3C6H_1Ap.xyz	True	1	-268.47144911	0.077014
H3C6NH+		H4C6N1+	90.10226	11	1	False	./species/H3C6NH+_1.xyz	True	1	-284.86947494	0.076773
C8H3+		H3C8+	99.10912	11	1	False	./species/C8H3+_1.xyz	True	1	-305.54494127	0.067908
H3C7N+		H3C7N1+	101.10512	11	1	False	./species/H3C7N+_2.xyz	True	2	-322.743062345	0.066642
C9H2+		H2C9+	110.11198	11	1	False	./species/C9H2+_2.xyz	True	2	-342.84210573	0.059661
C9H2		H2C9	110.11198	11	0	False	./species/H2C9_1A1.xyz	True	1	-343.15106474	0.061613
H2C8N+		H2C8N1+	112.10798	11	1	False	./species/H2C8N+_1.xyz	True	1	-359.61472432	0.062831
C10H+		H1C10+	121.11484	11	1	False	./species/C10H+_3.xyz	True	3	-380.22163884	0.054801
C10H		H1C10	121.11484	11	0	False	./species/C10H_2Pi.xyz	True	2	-380.53590507	0.055919
C10H-		H1C10-	121.11484	11	-1	False	./species/C10H-_1.xyz	True	1	-380.68593774	0.056948
C9HN+		H1C9N1+	123.11084	11	1	False	./species/C9HN+_2.xyz	True	2	-396.98552039	0.057223
HC9N	2,4,6,8-Nonatetraynenitrile	H1C9N1	123.11084	11	0	True	./species/HC9N_1Sigma.xyz	True	1	-397.33099538	0.05856
HC9O+		H1C9O1+	125.10314	11	1	False	./species/HC9O+_1.xyz	True	1	-417.50504305	0.05866
C11+		C11+	132.1177	11	1	False	./species/C11+_2.xyz	True	2	-417.53449285	0.046125
C11		C11	132.1177	11	0	False	./species/C11_1Sigma.xyz	True	1	-417.86606999	0.049733
C10N+		C10N1+	134.1137	11	1	False	./species/C10N+_1.xyz	True	1	-434.3193366	0.050853
C10N	9-cyano-2,4,6,8-nonatetraynylidyne	C10N1	134.1137	11	0	False	./species/C10N_2Ap.xyz	True	2	-434.61786901	0.049129
c-C6H6	Benzene	H6C6	78.11124000000002	12	0	False	./species/c-C6H6_1A1.xyz	True	1	-231.81989837	0.101291
C7H5+		H5C7+	89.1141	12	1	False	./species/C7H5+_1.xyz	True	1	-268.78873433	0.088098
C8H4+		H4C8+	100.11696	12	1	False	./species/C8H4+_2.xyz	True	2	-306.15860364	0.077159
C9H3+		H3C9+	111.11982	12	1	False	./species/C9H3+_1.xyz	True	1	-343.55526061	0.073648
CH3C7N		H3C8N1	113.11582	12	0	False	./species/CH3C7N_1Ap.xyz	True	1	-360.57007103	0.076686
C10H2+		H2C10+	122.12268	12	1	False	./species/C10H2+_2.xyz	True	2	-380.92870751	0.068153
C10H2	1,3,5,7,9-Decapentayne	H2C10	122.12268	12	0	False	./species/C10H2_1S.xyz	True	1	-381.2492332	0.069158
C9H2N+		H2C9N1+	124.11868	12	1	False	./species/C9H2N+_1.xyz	True	1	-397.62818701	0.067163
HC10N+		H1C10N1+	135.12153999999998	12	1	False	./species/HC10N+_2.xyz	True	2	-434.99383154	0.060587
